Province,ECD_Name,Clasification,Service Type,newOrRenewal,Registration Type,Partial Care Registration (PCR) Status,PCR Level,PCR Certificate Number,PCR issueDate,PCR expiryDate,Prog Registration Status,Prog Registration Level,Prog Registration issueDate,Prog Registration expiryDate,Prog Certificate Number,Land Owner,Building Owner,District Name,Fee Level,No. Children Enrolled,Equitable Share Subsidy,Children Subsidised Equitable Share,Conditional Grant Subsidy,Children Subsided Conditional Grant
Southern Cape,ECD 16,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 2,2,6,No,,No,
Southern Cape,ECD 17,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 52/06,2021/07/16,2026/07/31,Conditionally registered,BRONZE,2021/07/16,2026/07/31,,Community Centre,The ECD Programme,Disitrct 5,1,21,Yes,20,Yes,20
Southern Cape,ECD 18,,,,,Not registered,,,,,Not registered,,,,,,,Disitrct 4,1,,No,,No,
Southern Cape,ECD 19,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,3,17,No,,No,
Southern Cape,ECD 20,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 96/07,2018/06/07,2023/06/30,Conditionally registered,BRONZE,2018/06/07,2023/06/30,,Community Centre,Community Centre,Disitrct 3,1,26,Yes,32,Yes,32
Southern Cape,ECD 21,,,,,,,,,,,,,,,,,Disitrct 3,,,No,,No,
Southern Cape,ECD 22,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 4,1,,No,,No,
Southern Cape,ECD 23,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,,DC04/17,,,Lapsed registration,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 4,2,17,No,,No,
Southern Cape,ECD 24,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,2,50,No,,No,
Southern Cape,ECD 25,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,2,36,No,,No,
Southern Cape,ECD 26,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 2,1,18,No,,No,
Southern Cape,ECD 27,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,DC 24/07,2019/05/18,2022/12/21,Lapsed registration,GOLD,2019/05/18,2022/12/21,,The ECD Programme,The ECD Programme,Disitrct 3,2,43,Yes,,Yes,
Southern Cape,ECD 28,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,3,21,No,,No,
Southern Cape,ECD 29,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 2,3,15,No,,No,
Southern Cape,ECD 30,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,7,No,,No,
Southern Cape,ECD 31,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 4,1,4,No,,No,
Southern Cape,ECD 32,Centre based,ECD centre,,Non-Centre Based ECD Programme,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,1,6,No,,No,
Southern Cape,ECD 33,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,,,Disitrct 2,1,,No,,No,
Southern Cape,ECD 34,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,1,12,No,,No,
Southern Cape,ECD 35,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,4,19,No,,No,
Southern Cape,ECD 36,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC10/97,2019/03/27,2024/03/31,Fully registered,GOLD,2019/03/27,2024/03/31,,The ECD Programme,The ECD Programme,Disitrct 1,1,40,Yes,40,Yes,40
Southern Cape,ECD 37,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 2,2,17,No,,No,
Southern Cape,ECD 38,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 08/21,2021/08/05,2024/08/31,Conditionally registered,SILVER,2021/05/07,2024/05/31,,The ECD Programme,The ECD Programme,Disitrct 3,3,52,Yes,28,Yes,28
Southern Cape,ECD 39,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 5,1,8,No,,No,
Southern Cape,ECD 40,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Another private individual,Disitrct 4,3,25,No,,No,
Southern Cape,ECD 41,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC25/06,2022/03/31,2023/11/30,Fully registered,GOLD,2022/03/31,2023/11/30,,Community Centre,Community Centre,Disitrct 4,1,26,Yes,37,Yes,37
Southern Cape,ECD 42,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 2,5,21,No,,No,
Southern Cape,ECD 43,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC45/06,2021/05/07,2026/05/30,Conditionally registered,SILVER,2021/05/07,2026/05/30,,Municipality,Municipality,Disitrct 4,1,9,Yes,12,Yes,12
Southern Cape,ECD 44,Centre based,Playgroup,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Other,Other,Disitrct 1,3,35,No,,No,
Southern Cape,ECD 45,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,4,25,No,,No,
Southern Cape,ECD 46,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 64/06,2022/03/28,2027/03/21,Conditionally registered,BRONZE,2022/03/28,2027/03/21,,School,School,Disitrct 1,1,62,Yes,58,No,
Southern Cape,ECD 47,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 18/07,2021/08/05,2024/08/31,Conditionally registered,SILVER,2021/08/05,2024/08/31,,The ECD Programme,The ECD Programme,Disitrct 3,1,20,No,,No,
Southern Cape,ECD 48,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Other government institution (not municipality),Other government institution (not municipality),Disitrct 3,1,13,No,,No,
Southern Cape,ECD 49,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 23/10,2021/05/07,2024/05/31,Conditionally registered,SILVER,2021/05/07,2024/05/31,,Community Centre,Community Centre,Disitrct 3,1,29,Yes,40,Yes,40
Southern Cape,ECD 50,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,1,28,No,,No,
Southern Cape,ECD 51,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,1,15,No,,No,
Southern Cape,ECD 52,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 101/07,2021/05/07,2023/07/31,Conditionally registered,BRONZE,2021/05/07,2023/07/31,,The ECD Programme,The ECD Programme,Disitrct 3,1,37,No,,Yes,37
Southern Cape,ECD 53,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC53/07,2021/04/30,2024/04/30,Conditionally registered,SILVER,2021/04/30,2024/04/30,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,1,75,No,,Yes,38
Southern Cape,ECD 54,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,34,No,,No,
Southern Cape,ECD 55,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,18,No,,No,
Southern Cape,ECD 56,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,5,21,No,,No,
Southern Cape,ECD 57,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 25/00,2021/07/16,2026/07/31,Conditionally registered,BRONZE,2021/07/16,2026/07/31,,Municipality,Municipality,Disitrct 5,1,60,Yes,40,Yes,40
Southern Cape,ECD 58,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,2,57,No,,No,
Southern Cape,ECD 59,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 60,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,2,23,No,,No,
Southern Cape,ECD 61,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,3,49,No,,No,
Southern Cape,ECD 62,,,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 38/07,2021/03/29,2024/03/31,Conditionally registered,SILVER,2021/03/29,2024/03/31,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 63,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 38/07,2018/12/18,2023/12/30,Conditionally registered,SILVER,2018/12/18,2023/12/30,,Community Centre,Community Centre,Disitrct 3,1,117,Yes,95,No,
Southern Cape,ECD 64,Centre based,ECD centre,,,In process,,,,,In process,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,19,No,,No,
Southern Cape,ECD 65,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 38/07,2017/12/18,2023/05/31,Conditionally registered,SILVER,2017/12/18,2023/05/31,,The ECD Programme,The ECD Programme,Disitrct 3,1,72,No,,Yes,72
Southern Cape,ECD 66,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 21/07,2021/01/14,2024/01/30,Conditionally registered,SILVER,2021/01/21,2024/01/30,,Community Centre,Religious institution (e.g. church  mosque),Disitrct 3,1,58,Yes,52,Yes,52
Southern Cape,ECD 67,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 137/07,2020/11/18,2023/11/30,Conditionally registered,SILVER,2020/11/18,2023/11/30,,The ECD Programme,The ECD Programme,Disitrct 5,3,92,Yes,92,Yes,92
Southern Cape,ECD 68,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,12,No,,No,
Southern Cape,ECD 69,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 2,3,12,No,,No,
Southern Cape,ECD 70,Centre based,ECD centre,Renewal,Non-Centre Based ECD Programme,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,9,No,,No,
Southern Cape,ECD 71,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 13/01,2021/05/17,2024/05/31,Conditionally registered,SILVER,2021/05/17,2024/05/31,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,1,20,Yes,20,Yes,20
Southern Cape,ECD 72,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC 01/00,2019/11/11,2024/11/30,Fully registered,GOLD,2019/11/11,2024/11/30,,Not-for profit organisation,Not-for profit organisation,Disitrct 4,1,22,Yes,28,Yes,28
Southern Cape,ECD 73,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 3,4,52,No,,No,
Southern Cape,ECD 74,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,4,2,No,,No,
Southern Cape,ECD 75,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC18/06,2021/05/07,2024/05/31,Conditionally registered,SILVER,2021/05/07,2024/05/31,,Community Centre,Community Centre,Disitrct 4,1,52,Yes,72,Yes,72
Southern Cape,ECD 76,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,The ECD Programme,Disitrct 3,4,13,No,,No,
Southern Cape,ECD 77,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC01/13,2022/03/31,2027/03/31,Fully registered,GOLD,2022/03/31,2027/03/31,,Other government institution (not municipality),Other government institution (not municipality),Disitrct 1,1,70,Yes,61,No,
Southern Cape,ECD 78,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,3,40,No,,No,
Southern Cape,ECD 79,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,12,No,,No,
Southern Cape,ECD 80,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,1,6,No,,No,
Southern Cape,ECD 81,Centre based,ECD centre,,,Not registered,,DC 09/06,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,1,54,No,,No,
Southern Cape,ECD 82,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,Dc09/06,2021/03/29,2024/03/31,Conditionally registered,SILVER,2021/03/29,2024/03/31,,The ECD Programme,The ECD Programme,Disitrct 3,1,64,Yes,43,No,
Southern Cape,ECD 83,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,24,No,,No,
Southern Cape,ECD 84,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,19,No,,No,
Southern Cape,ECD 85,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,11,No,,No,
Southern Cape,ECD 86,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC 02/08,2018/12/24,2023/12/31,Fully registered,GOLD,2018/12/24,2023/12/31,,Municipality,The ECD Programme,Disitrct 5,1,80,Yes,80,Yes,80
Southern Cape,ECD 87,Centre based,ECD centre,,,Not registered,,DC 117/07,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,1,15,No,,No,
Southern Cape,ECD 88,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 94/07,2018/06/30,2023/06/30,Conditionally registered,BRONZE,2018/06/30,2023/06/30,,Community Centre,Community Centre,Disitrct 3,1,52,Yes,20,Yes,20
Southern Cape,ECD 89,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 04/18,2021/03/29,2023/09/30,Conditionally registered,BRONZE,2023/09/30,2023/06/30,,Community Centre,Community Centre,Disitrct 3,1,20,Yes,44,Yes,44
Southern Cape,ECD 90,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC/105/07,2021/05/05,2024/05/31,Conditionally registered,SILVER,2021/05/05,2024/05/31,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,1,90,Yes,90,No,
Southern Cape,ECD 91,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,,DC10/99,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 2,1,60,No,,No,
Southern Cape,ECD 92,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 67/07,2017/12/18,2022/12/31,Conditionally registered,BRONZE,2017/12/18,2022/12/31,,The ECD Programme,The ECD Programme,Disitrct 3,1,35,Yes,32,Yes,32
Southern Cape,ECD 93,,,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,DC 108/07,2017/06/26,2022/06/30,Lapsed registration,GOLD,2017/06/26,2022/06/30,,,,Disitrct 3,1,,Yes,11,Yes,11
Southern Cape,ECD 94,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,6,No,,No,
Southern Cape,ECD 95,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 48/07,2023/02/06,2025/09/30,Conditionally registered,SILVER,2017/03/27,2022/03/30,,The ECD Programme,The ECD Programme,Disitrct 3,1,28,Yes,28,Yes,28
Southern Cape,ECD 96,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,24,No,,No,
Southern Cape,ECD 97,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC72/07,2019/03/19,2025/03/31,Conditionally registered,SILVER,2019/03/19,2022/03/30,,The ECD Programme,The ECD Programme,Disitrct 3,1,40,Yes,30,Yes,30
Southern Cape,ECD 98,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC06/98,2018/05/25,2023/05/31,Fully registered,GOLD,2018/05/25,2023/05/31,,Municipality,Municipality,Disitrct 2,1,84,Yes,65,Yes,65
Southern Cape,ECD 99,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,1,47,No,,No,
Southern Cape,ECD 100,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,85,No,,No,
Southern Cape,ECD 101,Centre based,ECD centre,Renewal,Non-Centre Based ECD Programme,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,7,No,,No,
Southern Cape,ECD 102,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,3,76,No,,No,
Southern Cape,ECD 103,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,1,32,No,,No,
Southern Cape,ECD 104,,,,,,,,,,,,,,,,,,,,No,,No,
Southern Cape,ECD 105,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,36,No,,No,
Southern Cape,ECD 106,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Other,Other,Disitrct 3,1,30,No,,No,
Southern Cape,ECD 107,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,1,8,No,,No,
Southern Cape,ECD 108,Centre based,ECD centre,,,Fully registered,,,,,In process,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,2,20,No,,No,
Southern Cape,ECD 109,Centre based,ECD centre,,,Conditionally registered,,,,,In process,,,,,Municipality,Municipality,Disitrct 2,2,15,No,,No,
Southern Cape,ECD 110,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 3,1,28,No,,No,
Southern Cape,ECD 111,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 08/07,2019/05/05,2022/11/30,Conditionally registered,SILVER,2019/05/05,2022/11/30,,The ECD Programme,The ECD Programme,Disitrct 3,1,40,Yes,38,Yes,38
Southern Cape,ECD 112,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,SILVER,DC 07/11,2019/03/27,2022/03/30,Lapsed registration,SILVER,2019/03/27,2022/03/30,,School,School,Disitrct 5,1,24,Yes,20,Yes,20
Southern Cape,ECD 113,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC07/22,2022/03/17,2025/03/31,Conditionally registered,SILVER,2022/03/17,2025/03/31,,The ECD Programme,The ECD Programme,Disitrct 3,1,23,Yes,15,Yes,15
Southern Cape,ECD 114,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,1,,No,,No,
Southern Cape,ECD 115,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 35/07,2017/03/27,2025/03/31,Conditionally registered,SILVER,2017/03/27,2025/03/31,,The ECD Programme,Community Centre,Disitrct 3,1,16,Yes,20,Yes,20
Southern Cape,ECD 116,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,"The person in charge of the programme (e.g. principal, matron, child-minder, playgroup leader)","The person in charge of the programme (e.g. principal, matron, child-minder, playgroup leader)",Disitrct 5,5,55,No,,No,
Southern Cape,ECD 117,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,2,33,No,,No,
Southern Cape,ECD 118,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,15,No,,No,
Southern Cape,ECD 119,,,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 82/07,2021/06/24,2024/06/30,Conditionally registered,SILVER,2021/06/24,2024/06/30,,,,Disitrct 3,1,,No,,Yes,16
Southern Cape,ECD 120,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,1,10,No,,No,
Southern Cape,ECD 121,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,13,Yes,12,No,12
Southern Cape,ECD 122,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,3,7,No,,No,
Southern Cape,ECD 123,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 4,3,40,No,,No,
Southern Cape,ECD 124,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC 05/17,2021/06/14,2026/06/30,Fully registered,GOLD,2021/06/14,2026/06/30,,Private business,Another private individual,Disitrct 4,4,88,No,,No,
